,STNAME,CTYNAME,POP2020,POP2015,POP2010,POPGROWTH,WORK2020,WORK2015,WORK2010,WORKGROWTH,TYPE,DISTRESSED
0,Alabama,Autauga County,56145,54903.0,54761.0,2.527346103979111,36389.0,36156.0,36331.0,0.15964327984365756,R,N
1,Alabama,Baldwin County,229287,203101.0,183121.0,25.210653065459443,140030.0,127516.0,117556.0,19.11769709755351,S,N
2,Alabama,Barbour County,24589,26300.0,27325.0,-10.012808783165594,15432.0,17076.0,18513.0,-16.64235942310809,R,A
3,Alabama,Bibb County,22136,22553.0,22858.0,-3.158631551316826,14717.0,15327.0,15736.0,-6.47559735638027,R,A
4,Alabama,Blount County,57879,57535.0,57372.0,0.8837063375862764,36043.0,36475.0,37326.0,-3.4372823233135064,R,B
5,Alabama,Bullock County,9976,10404.0,10876.0,-8.275101140125042,6454.0,7023.0,7433.0,-13.17099421498722,R,A
6,Alabama,Butler County,19504,20168.0,20933.0,-6.82654182391439,11761.0,12642.0,13257.0,-11.28460435996077,R,A
7,Alabama,Calhoun County,113469,115550.0,118420.0,-4.180881607836517,72379.0,75788.0,79012.0,-8.39492735280717,S,A
8,Alabama,Chambers County,32865,33991.0,34105.0,-3.635830523383665,20474.0,21767.0,22203.0,-7.787235959104621,R,A
9,Alabama,Cherokee County,26294,25739.0,25968.0,1.255391250770188,15948.0,15985.0,16779.0,-4.952619345610588,R,B
10,Alabama,Chilton County,44397,43693.0,43645.0,1.7229923244357792,27947.0,28095.0,28630.0,-2.385609500523922,R,B
11,Alabama,Choctaw County,12418,13237.0,13848.0,-10.326400924321199,7446.0,8203.0,8769.0,-15.087239137872043,R,A
12,Alabama,Clarke County,23291,24711.0,25767.0,-9.609190049287852,14404.0,15724.0,16515.0,-12.782319103844985,R,A
13,Alabama,Clay County,13112,13415.0,13897.0,-5.6487011585234175,8078.0,8511.0,8892.0,-9.154295996401263,R,A
14,Alabama,Cleburne County,14967,14923.0,15004.0,-0.24660090642495414,9102.0,9340.0,9735.0,-6.502311248073955,R,A
15,Alabama,Coffee County,53230,51004.0,50204.0,6.027408174647442,33527.0,32938.0,32941.0,1.7789381014541084,R,N
16,Alabama,Colbert County,55411,54439.0,54527.0,1.621215177801827,34325.0,34602.0,35171.0,-2.405390804924512,R,B
17,Alabama,Conecuh County,11851,12677.0,13234.0,-10.450355145836475,6993.0,7730.0,8407.0,-16.819317235636966,R,A
18,Alabama,Coosa County,10650,10935.0,11779.0,-9.584854401901687,6603.0,7091.0,7898.0,-16.396556090149407,R,A
19,Alabama,Covington County,36930,37566.0,37810.0,-2.3274266067177973,22201.0,23225.0,23825.0,-6.816369359916052,R,A
20,Alabama,Crenshaw County,13681,13851.0,13868.0,-1.3484280357657918,8416.0,8748.0,8971.0,-6.186601270761338,R,A
